      Plot replica #,               up1 a,               up1 b,               up1 c,               dp1 a,               dp1 b,               dp1 c,               sp1 a,               sp1 b,               sp1 c,               um1 a,               um1 b,               um1 c,               dm1 a,               dm1 b,               dm1 c,               sm1 a,               sm1 b,               sm1 c,                GT b,                G2 a,                G2 b,                G2 c,               QTu b,               QTd b,               QTs b,
                 143,           -5.316696,            5.172507,            1.518956,            7.736803,           -7.708113,           -4.382977,            3.972666,           -2.630712,           -4.100676,           -8.253170,            6.984259,           13.988515,           -3.898432,            1.658951,            3.744371,            9.080745,           -8.220312,           -8.734814,            1.675473,            2.475657,           -2.654267,           -5.662264,           -4.724725,            6.653122,            1.334445,
                 144,           -5.400080,            5.205958,            1.284201,           11.086719,          -11.378089,           -3.432172,           11.940021,           -9.870440,          -10.816207,           -5.491276,            4.748774,           10.639157,          -10.445878,           10.751941,            7.267990,            1.011343,            5.566131,           -7.790102,           -2.459177,           -0.030621,            2.413820,           -4.461307,           -3.758227,            7.291613,            3.866598,
                 145,           -3.297244,            2.895203,            2.129550,           10.758413,          -10.797402,           -2.228781,           10.254622,           -8.502781,           -7.176590,           -7.324083,            7.782380,           10.650605,            2.920353,          -10.344450,            3.116695,            9.814679,           -5.733788,          -14.277794,            2.633347,            1.558255,           -2.965326,           -2.404463,           -4.208802,            4.865632,            0.965253,
                 146,           -4.924924,            5.514996,           -0.986470,            3.543087,           -3.420694,           -4.581183,           16.355694,          -16.752740,           -7.845922,           -6.214801,            5.730114,           10.919749,           -2.730426,            1.966104,            0.393432,           10.835753,           -4.081794,          -18.594902,           -3.186329,            1.142027,            2.502899,           -9.072181,           -4.023886,            6.931452,           10.710670,
                 147,           -5.901396,            6.213892,            0.131122,            8.619332,           -8.970394,           -4.195955,            6.609904,           -5.602147,           -9.540681,           -4.848166,            0.122938,           13.926411,           -3.694374,            1.294919,            3.363343,            6.761886,          -10.258157,           -3.651887,           -5.831207,           -1.637010,            3.591208,           -2.539395,           -4.106566,            8.227352,            6.373829,
                 148,           -2.127595,            1.949300,            0.677101,           14.208464,          -14.093898,           -5.198821,           12.227953,          -10.881605,           -3.307825,           -3.540446,            0.740443,           10.972610,          -13.755669,           16.327053,            7.382633,           12.804775,          -19.666828,            1.702002,           -1.003175,            1.913468,            0.097959,           -7.000834,           -3.729414,            7.307033,            0.943162,
                 149,           -6.624413,            6.366594,            2.775848,            5.032075,           -4.589876,           -2.785679,            6.597215,           -5.087102,          -10.405964,           -6.610450,            3.791388,           14.040786,            1.701177,           -5.711261,            0.243214,            1.899116,            3.761491,           -7.754699,            1.568649,            3.530653,           -4.213320,           -7.719836,           -5.510227,            3.792226,            6.936592,
                 150,           -1.642046,            1.768264,           -0.401702,            9.279384,           -9.150688,           -5.143795,           -0.474028,            1.671031,           -6.739326,           -4.350717,            1.627657,           10.920175,           -9.133425,            0.183315,           16.140605,            7.162831,           -9.735030,           -4.800851,           -4.580991,           -0.453405,            0.025656,           -4.008979,           -2.915185,            7.738311,            3.043329,
                 151,           -5.955881,            6.132717,           -2.547733,           12.288752,          -11.879629,           -4.462428,            9.276670,           -9.168594,           -4.262741,           -3.156100,           -0.813836,           11.730073,           -3.505244,            4.908976,           -0.792647,           13.152375,          -19.016509,           -6.638541,           -1.783543,            0.807214,            4.969634,           -9.273611,           -1.288634,            5.898665,            6.141734,
                 152,           -2.924823,            2.469573,            0.798287,            7.061906,           -6.553088,           -3.352400,            8.729831,           -6.489804,           -7.367542,           -5.947018,            7.427501,            6.675383,            3.040270,           -6.978221,            0.112904,            6.736627,           -5.203054,           -8.495526,           -1.264813,            1.200960,           -0.117539,           -5.245071,           -2.716772,            4.469431,            0.779422,
